Date,Ticker,BRIGADE.NS,DLF.NS,GODREJPROP.NS,IBREALEST.NS,LODHA.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SOBHA.NS,SUNTECK.NS
2004-10-08,Low,,,,29.350000381469727,,,,,,
2004-10-08,Open,,,,29.350000381469727,,,,,,
2004-10-08,Volume,,,,0.0,,,,,,
2004-10-11,Adj Close,,,,27.572362899780273,,,,,,
2004-10-11,Close,,,,31.549999237060547,,,,,,
2004-10-11,High,,,,35.79999923706055,,,,,,
2004-10-11,Low,,,,31.299999237060547,,,,,,
2004-10-11,Open,,,,35.79999923706055,,,,,,
2004-10-11,Volume,,,,6491444.0,,,,,,
2004-10-12,Adj Close,,,,27.00431251525879,,,,,,
2004-10-12,Close,,,,30.899999618530273,,,,,,
2004-10-12,High,,,,33.45000076293945,,,,,,
2004-10-12,Low,,,,30.5,,,,,,
2004-10-12,Open,,,,33.45000076293945,,,,,,
2004-10-12,Volume,,,,3081350.0,,,,,,
2004-10-14,Adj Close,,,,26.13038444519043,,,,,,
2004-10-14,Close,,,,29.899999618530273,,,,,,
2004-10-14,High,,,,31.0,,,,,,
2004-10-14,Low,,,,29.200000762939453,,,,,,
2004-10-14,Open,,,,30.0,,,,,,
2004-10-14,Volume,,,,1560185.0,,,,,,
2004-10-15,Adj Close,,,,26.13038444519043,,,,,,
2004-10-15,Close,,,,29.899999618530273,,,,,,
2004-10-15,High,,,,29.899999618530273,,,,,,
2004-10-15,Low,,,,29.899999618530273,,,,,,
2004-10-15,Open,,,,29.899999618530273,,,,,,
2004-10-15,Volume,,,,0.0,,,,,,
2004-10-18,Adj Close,,,,24.469926834106445,,,,,,
2004-10-18,Close,,,,28.0,,,,,,
2004-10-18,High,,,,29.25,,,,,,
2004-10-18,Low,,,,27.75,,,,,,
2004-10-18,Open,,,,28.450000762939453,,,,,,
2004-10-18,Volume,,,,1637491.0,,,,,,
2004-10-19,Adj Close,,,,24.863195419311523,,,,,,
2004-10-19,Close,,,,28.450000762939453,,,,,,
2004-10-19,High,,,,28.700000762939453,,,,,,
2004-10-19,Low,,,,27.5,,,,,,
2004-10-19,Open,,,,28.0,,,,,,
2004-10-19,Volume,,,,1100419.0,,,,,,
2004-10-20,Adj Close,,,,24.513622283935547,,,,,,
2004-10-20,Close,,,,28.049999237060547,,,,,,
2004-10-20,High,,,,28.700000762939453,,,,,,
2004-10-20,Low,,,,28.0,,,,,,
2004-10-20,Open,,,,28.5,,,,,,
2004-10-20,Volume,,,,552949.0,,,,,,
2004-10-21,Adj Close,,,,25.43124771118164,,,,,,
2004-10-21,Close,,,,29.100000381469727,,,,,,
2004-10-21,High,,,,29.700000762939453,,,,,,
2004-10-21,Low,,,,28.100000381469727,,,,,,
2004-10-21,Open,,,,28.399999618530273,,,,,,
2004-10-21,Volume,,,,1681665.0,,,,,,
2004-10-22,Adj Close,,,,25.43124771118164,,,,,,
2004-10-22,Close,,,,29.100000381469727,,,,,,
2004-10-22,High,,,,29.100000381469727,,,,,,
2004-10-22,Low,,,,29.100000381469727,,,,,,
2004-10-22,Open,,,,29.100000381469727,,,,,,
2004-10-22,Volume,,,,0.0,,,,,,
2004-10-25,Adj Close,,,,25.343854904174805,,,,,,
2004-10-25,Close,,,,29.0,,,,,,
2004-10-25,High,,,,29.450000762939453,,,,,,
2004-10-25,Low,,,,28.0,,,,,,
2004-10-25,Open,,,,29.25,,,,,,
2004-10-25,Volume,,,,2744311.0,,,,,,
2004-10-26,Adj Close,,,,27.3538818359375,,,,,,
2004-10-26,Close,,,,31.299999237060547,,,,,,
2004-10-26,High,,,,32.0,,,,,,
2004-10-26,Low,,,,28.75,,,,,,
2004-10-26,Open,,,,29.200000762939453,,,,,,
2004-10-26,Volume,,,,2090746.0,,,,,,
2004-10-27,Adj Close,,,,27.3101863861084,,,,,,
2004-10-27,Close,,,,31.25,,,,,,
2004-10-27,High,,,,32.79999923706055,,,,,,
2004-10-27,Low,,,,30.75,,,,,,
2004-10-27,Open,,,,32.099998474121094,,,,,,
2004-10-27,Volume,,,,2074681.0,,,,,,
2004-10-28,Adj Close,,,,28.315202713012695,,,,,,
2004-10-28,Close,,,,32.400001525878906,,,,,,
2004-10-28,High,,,,32.79999923706055,,,,,,
2004-10-28,Low,,,,31.350000381469727,,,,,,
2004-10-28,Open,,,,31.850000381469727,,,,,,
2004-10-28,Volume,,,,2550879.0,,,,,,
2004-10-29,Adj Close,,,,28.315202713012695,,,,,,
2004-10-29,Close,,,,32.400001525878906,,,,,,
2004-10-29,High,,,,32.400001525878906,,,,,,
2004-10-29,Low,,,,32.400001525878906,,,,,,
2004-10-29,Open,,,,32.400001525878906,,,,,,
2004-10-29,Volume,,,,0.0,,,,,,
2004-11-01,Adj Close,,,,28.271503448486328,,,,,,
2004-11-01,Close,,,,32.349998474121094,,,,,,
2004-11-01,High,,,,32.95000076293945,,,,,,
2004-11-01,Low,,,,32.099998474121094,,,,,,
