Date,Ticker,DISHTV.NS,HATHWAY.NS,INOXLEISUR.NS,NAZARA.NS,NETWORK18.NS,PVR.NS,SAREGAMA.NS,SUNTV.NS,TV18BRDCST.NS,ZEEL.NS
2002-07-01,Adj Close,,,,,,,81.49939727783203,,,32.705326080322266
2002-07-01,Close,,,,,,,89.58216857910156,,,38.87849807739258
2002-07-01,High,,,,,,,91.57763671875,,,39.13809585571289
2002-07-01,Low,,,,,,,89.08330535888672,,,38.481468200683594
2002-07-01,Open,,,,,,,89.43963623046875,,,38.847957611083984
2002-07-01,Volume,,,,,,,34442.0,,,4031528.0
2002-07-02,Adj Close,,,,,,,80.39717102050781,,,32.987945556640625
2002-07-02,Close,,,,,,,88.37063598632812,,,39.214447021484375
2002-07-02,High,,,,,,,90.43737030029297,,,40.11540222167969
2002-07-02,Low,,,,,,,87.72924041748047,,,38.54254913330078
2002-07-02,Open,,,,,,,90.29483795166016,,,38.72579574584961
2002-07-02,Volume,,,,,,,14153.0,,,14152321.0
2002-07-03,Adj Close,,,,,,,84.2225341796875,,,33.28337860107422
2002-07-03,Close,,,,,,,92.57537078857422,,,39.56566619873047
2002-07-03,High,,,,,,,93.28803253173828,,,39.764183044433594
2002-07-03,Low,,,,,,,88.58443450927734,,,38.86322784423828
2002-07-03,Open,,,,,,,90.15230560302734,,,39.03120040893555
2002-07-03,Volume,,,,,,,33888.0,,,8456844.0
2002-07-04,Adj Close,,,,,,,85.32474517822266,,,33.257694244384766
2002-07-04,Close,,,,,,,93.78690338134766,,,39.535125732421875
2002-07-04,High,,,,,,,96.20996856689453,,,40.83311080932617
2002-07-04,Low,,,,,,,93.35929870605469,,,39.306068420410156
2002-07-04,Open,,,,,,,95.9249038696289,,,39.87107467651367
2002-07-04,Volume,,,,,,,42380.0,,,12745157.0
2002-07-05,Adj Close,,,,,,,85.71375274658203,,,33.103546142578125
2002-07-05,Close,,,,,,,94.2145004272461,,,39.35187911987305
2002-07-05,High,,,,,,,95.42603302001953,,,40.00851058959961
2002-07-05,Low,,,,,,,93.43057250976562,,,39.01593017578125
2002-07-05,Open,,,,,,,94.07196807861328,,,40.00851058959961
2002-07-05,Volume,,,,,,,16257.0,,,6445895.0
2002-07-08,Adj Close,,,,,,,86.10277557373047,,,32.48695755004883
2002-07-08,Close,,,,,,,94.64210510253906,,,38.618900299072266
2002-07-08,High,,,,,,,95.49729919433594,,,40.0390510559082
2002-07-08,Low,,,,,,,94.07196807861328,,,38.405113220214844
2002-07-08,Open,,,,,,,94.9984359741211,,,39.733642578125
2002-07-08,Volume,,,,,,,10577.0,,,8225226.0
2002-07-09,Adj Close,,,,,,,83.83350372314453,,,31.94742774963379
2002-07-09,Close,,,,,,,92.14776611328125,,,37.977542877197266
2002-07-09,High,,,,,,,95.0697021484375,,,39.15336608886719
2002-07-09,Low,,,,,,,91.29257202148438,,,37.885921478271484
2002-07-09,Open,,,,,,,94.78463745117188,,,38.26768112182617
2002-07-09,Volume,,,,,,,8859.0,,,10865998.0
2002-07-10,Adj Close,,,,,,,82.21260070800781,,,31.613441467285156
2002-07-10,Close,,,,,,,90.36610412597656,,,37.58051300048828
2002-07-10,High,,,,,,,93.71563720703125,,,38.58835983276367
2002-07-10,Low,,,,,,,90.00977325439453,,,37.41253662109375
2002-07-10,Open,,,,,,,93.71563720703125,,,38.1455192565918
2002-07-10,Volume,,,,,,,6328.0,,,8238268.0
2002-07-11,Adj Close,,,,,,,79.87847900390625,,,31.84465980529785
2002-07-11,Close,,,,,,,87.80050659179688,,,37.85538101196289
2002-07-11,High,,,,,,,91.57763671875,,,38.1455192565918
2002-07-11,Low,,,,,,,87.01657104492188,,,36.86280059814453
2002-07-11,Open,,,,,,,91.57763671875,,,37.41253662109375
2002-07-11,Volume,,,,,,,8598.0,,,12711851.0
2002-07-12,Adj Close,,,,,,,79.61913299560547,,,31.754743576049805
2002-07-12,Close,,,,,,,87.51543426513672,,,37.74848556518555
2002-07-12,High,,,,,,,89.79596710205078,,,38.55781936645508
2002-07-12,Low,,,,,,,86.94530487060547,,,37.45834732055664
2002-07-12,Open,,,,,,,89.08330535888672,,,38.32876205444336
2002-07-12,Volume,,,,,,,9687.0,,,7378410.0
2002-07-15,Adj Close,,,,,,,78.12789916992188,,,30.059101104736328
2002-07-15,Close,,,,,,,85.87630462646484,,,35.732791900634766
2002-07-15,High,,,,,,,88.37063598632812,,,37.840110778808594
2002-07-15,Low,,,,,,,85.51997375488281,,,35.289947509765625
2002-07-15,Open,,,,,,,85.73377227783203,,,37.8248405456543
2002-07-15,Volume,,,,,,,10984.0,,,12436803.0
2002-07-16,Adj Close,,,,,,,75.79377746582031,,,31.279447555541992
2002-07-16,Close,,,,,,,83.31070709228516,,,37.18347930908203
2002-07-16,High,,,,,,,89.72470092773438,,,37.71794509887695
2002-07-16,Low,,,,,,,80.53130340576172,,,35.03034973144531
2002-07-16,Open,,,,,,,89.72470092773438,,,35.48846435546875
2002-07-16,Volume,,,,,,,16195.0,,,20568293.0
2002-07-17,Adj Close,,,,,,,73.45968627929688,,,30.81700325012207
2002-07-17,Close,,,,,,,80.74510955810547,,,36.63374710083008
2002-07-17,High,,,,,,,84.09464263916016,,,37.168212890625
2002-07-17,Low,,,,,,,80.17497253417969,,,36.08401107788086
2002-07-17,Open,,,,,,,82.66930389404297,,,36.89334487915039
2002-07-17,Volume,,,,,,,18332.0,,,9150980.0
2002-07-18,Adj Close,,,,,,,75.01573944091797,,,30.380247116088867
2002-07-18,Close,,,,,,,82.45550537109375,,,36.11455154418945
2002-07-18,High,,,,,,,83.23944091796875,,,37.381996154785156
2002-07-18,Low,,,,,,,81.9566421508789,,,35.64116668701172
2002-07-18,Open,,,,,,,82.66930389404297,,,37.25983428955078
2002-07-18,Volume,,,,,,,9557.0,,,18480279.0
2002-07-19,Adj Close,,,,,,,74.75640106201172,,,30.7142276763916
2002-07-19,Close,,,,,,,82.17044067382812,,,36.51158142089844
2002-07-19,High,,,,,,,83.31070709228516,,,37.45834732055664
2002-07-19,Low,,,,,,,80.60256958007812,,,36.23671340942383
2002-07-19,Open,,,,,,,81.60030364990234,,,36.23671340942383
2002-07-19,Volume,,,,,,,8019.0,,,14291424.0
2002-07-22,Adj Close,,,,,,,71.25523376464844,,,28.145084381103516
2002-07-22,Close,,,,,,,78.3220443725586,,,33.457496643066406
2002-07-22,High,,,,,,,80.88764190673828,,,35.977115631103516
2002-07-22,Low,,,,,,,77.6806411743164,,,32.770328521728516
2002-07-22,Open,,,,,,,77.82317352294922,,,35.80914306640625
2002-07-22,Volume,,,,,,,9046.0,,,13678965.0
2002-07-23,Adj Close,,,,,,,72.16292572021484,,,28.99289894104004
2002-07-23,Close,,,,,,,79.31977081298828,,,34.46534729003906
2002-07-23,High,,,,,,,80.17497253417969,,,34.75548553466797
2002-07-23,Low,,,,,,,77.6806411743164,,,32.235862731933594
2002-07-23,Open,,,,,,,77.6806411743164,,,33.54912185668945
2002-07-23,Volume,,,,,,,6792.0,,,15143604.0
2002-07-24,Adj Close,,,,,,,70.4123764038086,,,27.849624633789062
2002-07-24,Close,,,,,,,77.39557647705078,,,33.10627746582031
2002-07-24,High,,,,,,,79.10597229003906,,,33.90034103393555
2002-07-24,Low,,,,,,,77.32431030273438,,,32.25113296508789
2002-07-24,Open,,,,,,,79.10597229003906,,,33.90034103393555
2002-07-24,Volume,,,,,,,10195.0,,,10235891.0
2002-07-25,Adj Close,,,,,,,70.3475341796875,,,28.19645881652832
2002-07-25,Close,,,,,,,77.32431030273438,,,33.518577575683594
2002-07-25,High,,,,,,,81.24397277832031,,,35.091434478759766
2002-07-25,Low,,,,,,,75.89897155761719,,,33.06046676635742
2002-07-25,Open,,,,,,,79.10597229003906,,,34.29737091064453
2002-07-25,Volume,,,,,,,7492.0,,,7693444.0
2002-07-26,Adj Close,,,,,,,66.52217102050781,,,26.6292781829834
2002-07-26,Close,,,,,,,73.11957550048828,,,31.655588150024414
2002-07-26,High,,,,,,,75.54264068603516,,,32.80086898803711
2002-07-26,Low,,,,,,,72.40690612792969,,,31.18220329284668
